prod_code,product_name,cat_id,seller_id,price,stock_qty,created_at
PROD001,삼성 갤럭시 S24,CAT001,VND001,1350000,150,2024-01-01
PROD002,애플 아이폰 15,CAT001,VND002,1490000,120,2024-01-01
PROD003,LG 그램 노트북,CAT002,VND003,1890000,80,2024-01-05
PROD004,삼성 QLED TV 65인치,CAT003,VND001,2450000,45,2024-01-10
PROD005,소니 WH-1000XM5 헤드폰,CAT004,VND004,450000,200,2024-01-15
PROD006,나이키 에어맥스,CAT005,VND005,189000,300,2024-02-01
PROD007,아디다스 울트라부스트,CAT005,VND006,214000,250,2024-02-05
PROD008,노스페이스 패딩,CAT006,VND007,350000,180,2024-02-10
PROD009,다이슨 에어랩,CAT007,VND008,650000,100,2024-02-15
PROD010,필립스 전기면도기,CAT007,VND009,159000,150,2024-02-20
PROD011,삼성 비스포크 냉장고,CAT008,VND001,2890000,30,2024-03-01
PROD012,LG 트롬 세탁기,CAT008,VND003,1650000,40,2024-03-05
PROD013,애플 에어팟 프로,CAT004,VND002,359000,400,2024-03-10
PROD014,로지텍 MX Master 3,CAT009,VND010,149000,200,2024-03-15
PROD015,벤큐 모니터 27인치,CAT009,VND010,450000,100,2024-03-20
PROD016,캐논 EOS R6,CAT010,VND011,2850000,25,2024-04-01
PROD017,고프로 히어로 12,CAT010,VND012,550000,80,2024-04-05
PROD018,닌텐도 스위치 OLED,CAT011,VND013,450000,120,2024-04-10
PROD019,PS5 디지털 에디션,CAT011,VND004,550000,60,2024-04-15
PROD020,애플 워치 시리즈 9,CAT012,VND002,599000,180,2024-04-20
