review_id,reviewed_product,reviewed_by,rating,review_text,review_date,helpful_count
REV001,PROD001,CUST001,5,배송도 빠르고 제품 품질 최고입니다,2024-01-20,15
REV002,PROD005,CUST001,4,노이즈캔슬링 좋아요 다만 무게가 좀 있네요,2024-01-22,8
REV003,PROD010,CUST002,4,면도가 잘 됩니다 추천해요,2024-01-25,5
REV004,PROD003,CUST003,5,가볍고 성능 좋습니다 업무용으로 딱이에요,2024-01-30,22
REV005,PROD006,CUST004,5,착화감이 정말 편해요,2024-02-05,12
REV006,PROD012,CUST005,5,소음도 적고 세탁력 좋습니다,2024-02-12,18
REV007,PROD007,CUST006,4,디자인 예쁘고 쿠션감 좋아요,2024-02-15,7
REV008,PROD018,CUST007,5,가족들이랑 같이 즐기기 좋아요,2024-02-20,25
REV009,PROD006,CUST003,4,두번째 구매입니다 역시 좋네요,2024-02-25,6
REV010,PROD014,CUST008,5,그립감 좋고 정확도 높습니다,2024-03-02,14
REV011,PROD005,CUST009,5,비행기에서 필수템이에요,2024-03-08,20
REV012,PROD010,CUST010,3,배터리 수명이 좀 아쉽습니다,2024-03-12,4
REV013,PROD007,CUST011,5,운동할때 너무 좋아요,2024-03-18,9
REV014,PROD001,CUST002,5,카메라 성능이 놀랍습니다,2024-03-22,16
REV015,PROD010,CUST012,4,가성비 좋은 제품입니다,2024-03-25,7
REV016,PROD014,CUST013,4,손목이 편해졌어요,2024-03-28,5
REV017,PROD006,CUST014,5,색상도 예쁘고 만족합니다,2024-04-02,8
REV018,PROD010,CUST015,4,충전이 조금 오래걸려요,2024-04-05,3
REV019,PROD018,CUST004,5,게임 종류가 많아서 좋아요,2024-04-08,11
REV020,PROD002,CUST011,5,역시 아이폰이네요,2024-04-18,19
REV021,PROD013,CUST011,4,음질 좋은데 케이스가 좀 미끄럽네요,2024-04-20,6
REV022,PROD007,CUST005,5,운동화는 아디다스죠,2024-04-22,10
REV023,PROD014,CUST009,5,재구매 의사 있습니다,2024-04-25,8
