enrollment_id,student_id,course_id,semester,year,grade,status,enrollment_date,final_score
ENR001,STU001,CRS001,fall,2021,A,completed,2021-08-26,94.5
ENR002,STU001,CRS002,spring,2022,A-,completed,2022-01-15,91.2
ENR003,STU001,CRS003,fall,2023,B+,completed,2023-08-25,87.8
ENR004,STU002,CRS004,fall,2020,A,completed,2020-08-25,96.0
ENR005,STU002,CRS005,spring,2021,A,completed,2021-01-12,95.5
ENR006,STU002,CRS006,fall,2023,A-,completed,2023-08-25,92.0
ENR007,STU003,CRS007,fall,2022,B,completed,2022-08-23,84.0
ENR008,STU003,CRS008,spring,2023,B+,completed,2023-01-10,86.5
ENR009,STU004,CRS009,fall,2021,A-,completed,2021-08-26,90.5
ENR010,STU004,CRS010,spring,2023,B+,completed,2023-01-12,88.2
ENR011,STU005,CRS001,fall,2020,A,completed,2020-08-25,93.0
ENR012,STU005,CRS002,spring,2021,B+,completed,2021-01-12,87.5
ENR013,STU006,CRS011,fall,2022,A,completed,2022-08-23,95.0
ENR014,STU006,CRS012,spring,2023,A-,completed,2023-01-10,91.8
ENR015,STU007,CRS004,fall,2021,B,completed,2021-08-26,82.5
ENR016,STU007,CRS005,spring,2022,B-,completed,2022-01-15,79.0
ENR017,STU008,CRS007,fall,2020,A,completed,2020-08-25,97.0
ENR018,STU008,CRS008,spring,2021,A,completed,2021-01-12,96.5
ENR019,STU009,CRS009,fall,2022,B+,completed,2022-08-23,85.5
ENR020,STU010,CRS013,fall,2021,A-,completed,2021-08-26,90.0
ENR021,STU001,CRS014,spring,2024,IP,in_progress,2024-01-15,
ENR022,STU002,CRS015,spring,2024,IP,in_progress,2024-01-15,
ENR023,STU011,CRS011,fall,2020,A,completed,2020-08-25,94.0
ENR024,STU012,CRS001,fall,2022,A-,completed,2022-08-23,91.0
ENR025,STU013,CRS004,fall,2021,B,completed,2021-08-26,83.0
