work_order_id,product_id,plant_id,line_id,quantity_ordered,quantity_completed,start_date,due_date,completion_date,status,priority,customer_order_id
WO001,PROD001,PLT001,LINE001,500,500,2024-01-15,2024-01-20,2024-01-19,completed,high,CUST-ORD-001
WO002,PROD002,PLT001,LINE002,300,300,2024-01-16,2024-01-22,2024-01-21,completed,medium,CUST-ORD-002
WO003,PROD003,PLT002,LINE004,1000,850,2024-01-17,2024-01-24,,in_progress,high,CUST-ORD-003
WO004,PROD004,PLT003,LINE006,400,400,2024-01-14,2024-01-19,2024-01-18,completed,high,CUST-ORD-004
WO005,PROD005,PLT004,LINE008,2000,1800,2024-01-18,2024-01-25,,in_progress,medium,CUST-ORD-005
WO006,PROD006,PLT005,LINE010,150,150,2024-01-15,2024-01-20,2024-01-20,completed,high,CUST-ORD-006
WO007,PROD007,PLT006,LINE011,3000,2500,2024-01-19,2024-01-26,,in_progress,low,CUST-ORD-007
WO008,PROD001,PLT001,LINE001,600,0,2024-01-25,2024-01-30,,planned,medium,CUST-ORD-008
WO009,PROD003,PLT002,LINE004,800,0,2024-01-26,2024-02-02,,planned,high,CUST-ORD-009
WO010,PROD008,PLT003,LINE007,250,180,2024-01-20,2024-01-27,,in_progress,medium,CUST-ORD-010
WO011,PROD009,PLT004,LINE009,1500,1500,2024-01-12,2024-01-18,2024-01-17,completed,high,CUST-ORD-011
WO012,PROD010,PLT006,LINE012,2500,2000,2024-01-21,2024-01-28,,in_progress,medium,CUST-ORD-012
